
REGIAO DT_ERRO    DT_SUSP    PDF_NAME                                           PMG_NAME                                           RMR_ RMR_NAME                                                                                             RRD_D SAS_NAME                                           IVS_NAME                                             COUNT(1)
------ ---------- ---------- -------------------------------------------------- -------------------------------------------------- ---- ---------------------------------------------------------------------------------------------------- ----- -------------------------------------------------- -------------------------------------------------- ----------
R2     04/2010    06/2010    Oi Suporte                                         Débito em Conta Corrente                           04   Débito não efetuado - Outras restrições.                                                                   Suspensa inadimplente                              Cancelada                                                   2
R2     05/2010    06/2010    Oi Antivírus                                       Débito em Conta Corrente                           01   Débito não efetuado - Insuficiência de fundos.                                                             Suspensa inadimplente                              Erro                                                        3
R2     06/2010    06/2010    Oi Internet Banda Larga                            Débito em Conta Telefônica                         EE   Registro Recebido Errado - erros irrecuperáveis - não faturado                                       51035 Suspensa inadimplente                              Erro não refaturável                                      773
R2     06/2010    06/2010    Oi Antivírus                                       Débito em Conta Telefônica                         EE   Registro Recebido Errado - erros irrecuperáveis - não faturado                                       51035 Suspensa inadimplente                              Erro não refaturável                                      437
R2     06/2010    06/2010    Oi Antivírus                                       Débito em Conta Telefônica                         EE   Registro Recebido Errado - erros irrecuperáveis - não faturado                                       51114 Suspensa inadimplente                              Erro não refaturável                                      137
R2     03/2010    06/2010    Oi Antivírus                                       Débito em Conta Corrente                           01   Débito não efetuado - Insuficiência de fundos.                                                             Suspensa inadimplente                              Cancelada                                                   4
R2     06/2010    06/2010    Oi Proteção da Família                             Débito em Conta Corrente                           01   Débito não efetuado - Insuficiência de fundos.                                                             Suspensa inadimplente                              Cancelada                                                   2
R2     05/2010    06/2010    Oi Suporte                                         Débito em Conta Corrente                           02   Débito não efetuado - Conta corrente não cadastrada.                                                       Suspensa inadimplente                              Cancelada                                                   8
R2     04/2010    06/2010    Oi Suporte                                         Débito em Conta Corrente                           01   Débito não efetuado - Insuficiência de fundos.                                                             Suspensa inadimplente                              Cancelada                                                   7
R2     03/2010    06/2010    Oi Suporte                                         Débito em Conta Corrente                           02   Débito não efetuado - Conta corrente não cadastrada.                                                       Suspensa inadimplente                              Cancelada                                                   2
R2     04/2010    06/2010    Oi Suporte                                         Débito em Conta Corrente                           02   Débito não efetuado - Conta corrente não cadastrada.                                                       Suspensa inadimplente                              Cancelada                                                  11
R2     03/2010    06/2010    Oi Suporte                                         Cartão de Crédito                                  0013 Tempo insuficiente para arrecadação                                                                        Suspensa inadimplente                              Cancelada                                                   1
